ID,State ,Site,Treatment,Ex/Cont Number,Date,Year,SolarDay,Period,Orthoptera,Hemiptera,Lepidoptera,Diptera,Hymenoptera,Coleoptera,Thysanoptera,Amphipoda,Snail,Isopoda,Spider,Pseudoscorpionida,Unknown,Total,Notes
286,ME,Asparagus,Control,1,5/28/2014,2014,158,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,
287,ME,Asparagus,Control,2,5/28/2014,2014,158,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,
288,ME,Asparagus,Control,3,5/28/2014,2014,158,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,
291,ME,Asparagus,Control,3,5/28/2014,2014,158,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,
292,ME,Bunny,Control,3,5/28/2014,2014,158,1,0,0,0,0,0,0,0,1,0,1,1,0,0,3,
293,ME,Asparagus,Control,1,5/28/2014,2014,158,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,
294,ME,Asparagus,Control,2,5/28/2014,2014,158,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,
295,ME,Bunny,Control,3,5/28/2014,2014,158,1,0,3,0,0,0,1,0,0,0,0,1,0,0,5,
307,ME,Bunny,Control,1,5/28/2014,2014,158,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,
308,ME,Bunny,Control,2,5/28/2014,2014,158,1,0,5,0,0,0,0,0,0,0,0,0,0,0,5,
314,ME,Bunny,Control,1,5/28/2014,2014,158,1,0,0,0,0,0,0,0,0,3,1,1,0,0,5,
315,ME,Bunny,Control,2,5/28/2014,2014,158,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,
298,ME,Rachel Carson,Control,3,6/6/2014,2014,167,1,0,50,0,0,2,0,0,0,6,1,5,0,0,64,
299,NH,Chapman,Control,3,6/6/2014,2014,167,1,0,1,0,0,0,0,0,0,0,0,7,0,0,8,
301,NH,Chapman,Control,3,6/6/2014,2014,167,1,0,4,0,0,1,0,0,0,2,3,2,0,1,13,
302,ME,Rachel Carson,Control,3,6/6/2014,2014,167,1,1,221,0,2,0,0,0,0,3,18,18,0,1,264,
320,NH,Chapman,Control,1,6/6/2014,2014,167,1,0,0,0,0,0,0,0,0,1,0,6,0,1,8,
321,NH,Chapman,Control,2,6/6/2014,2014,167,1,0,0,0,0,0,0,0,0,3,0,14,0,0,17,
324,NH,Chapman,Control,1,6/6/2014,2014,167,1,1,4,0,10,0,0,0,0,5,0,3,0,0,23,
325,NH,Chapman,Control,2,6/6/2014,2014,167,1,0,4,0,10,0,0,0,1,6,0,7,0,0,28,
341,ME,Rachel Carson,Control,2,6/6/2014,2014,167,1,0,65,0,0,0,0,0,0,1,2,5,0,0,73,
344,ME,Rachel Carson,Control,1,6/6/2014,2014,167,1,0,33,0,0,3,0,0,0,12,8,16,0,1,73,
345,ME,Rachel Carson,Control,1,6/6/2014,2014,167,1,1,169,0,1,0,0,0,0,3,5,4,0,0,183,
346,ME,Rachel Carson,Control,2,6/6/2014,2014,167,1,0,250,0,0,0,0,0,0,2,2,4,0,0,258,
300,CT,Barn Island,Control,1,6/10/2014,2014,171,1,3,61,0,2,0,3,0,53,17,2,35,0,0,176,
303,CT,Barn Island,Control,1,6/10/2014,2014,171,1,3,13,0,3,0,2,0,57,49,19,13,0,0,159,
304,CT,Barn Island,Control,3,6/10/2014,2014,171,1,5,23,0,4,1,0,0,23,69,3,8,0,1,137,
305,CT,Barn Island,Control,3,6/10/2014,2014,171,1,8,72,0,0,4,16,0,59,53,0,43,0,0,255,
380,CT,Barn Island,Control,2,6/10/2014,2014,171,1,0,56,0,2,1,12,0,67,67,0,27,0,0,232,
381,CT,Barn Island,Control,2,6/10/2014,2014,171,1,0,14,0,4,1,0,0,17,69,10,5,0,0,120,
306,CT,Hammo,Control,3,6/11/2014,2014,172,1,1,238,0,4,0,0,0,8,24,5,6,0,1,287,
309,RI,Sachuest,Control,3,6/11/2014,2014,172,1,0,52,0,4,3,3,0,95,0,0,16,0,20,193,
312,RI,Sachuest,Control,3,6/11/2014,2014,172,1,0,11,0,3,0,0,0,5,0,1,9,0,0,29,
313,CT,Hammo,Control,3,6/11/2014,2014,172,1,0,83,0,0,0,1,0,2,43,1,2,0,0,132,
334,CT,Hammo,Control,1,6/11/2014,2014,172,1,0,36,0,5,0,0,0,1,22,1,4,0,0,69,
335,CT,Hammo,Control,2,6/11/2014,2014,172,1,0,23,0,4,1,0,0,6,1,0,11,0,0,46,
339,CT,Hammo,Control,1,6/11/2014,2014,172,1,0,138,0,4,2,2,0,2,21,1,10,0,0,180,
340,CT,Hammo,Control,2,6/11/2014,2014,172,1,0,58,0,7,1,0,0,5,11,0,10,0,0,92,
349,RI,Sachuest,Control,1,6/11/2014,2014,172,1,0,12,0,9,1,3,0,20,0,0,65,0,0,110,
350,RI,Sachuest,Control,2,6/11/2014,2014,172,1,0,31,0,12,1,5,0,108,0,0,78,0,2,237,
353,RI,Sachuest,Control,1,6/11/2014,2014,172,1,0,36,0,18,0,18,0,118,0,1,27,0,1,219,
354,RI,Sachuest,Control,2,6/11/2014,2014,172,1,2,22,0,8,2,1,0,52,0,0,34,0,7,128,
316,NJ,Forsythe,Control,3,6/12/2014,2014,173,1,0,164,0,3,0,3,0,1,0,0,2,0,0,173,
317,NJ,Forsythe,Control,3,6/12/2014,2014,173,1,1,366,0,15,0,1,0,2,2,5,7,0,0,399,
328,NJ,Forsythe,Control,1,6/12/2014,2014,173,1,1,148,0,2,1,0,0,5,1,0,5,0,3,166,
333,NJ,Forsythe,Control,1,6/12/2014,2014,173,1,0,123,0,3,7,0,0,0,0,3,8,1,0,145,
357,NJ,Forsythe,Control,2,6/12/2014,2014,173,1,10,157,0,7,0,2,0,2,0,0,5,0,0,183,
358,NJ,Forsythe,Control,2,6/12/2014,2014,173,1,0,190,0,5,0,0,0,0,2,3,7,0,2,209,
1,ME,Asparagus,Control,1,6/27/2014,2014,188,2,0,14,0,0,0,0,0,2,0,0,0,0,0,16,
2,ME,Asparagus,Control,2,6/27/2014,2014,188,2,0,5,0,0,0,4,0,3,0,0,0,0,0,12,
13,ME,Asparagus,Exclosure,2,6/27/2014,2014,188,2,0,5,0,0,1,0,0,0,0,0,0,0,0,6,
35,ME,Bunny,Control,1,6/27/2014,2014,188,2,0,1,0,0,0,0,0,2,1,0,0,0,0,4,
36,ME,Bunny,Control,2,6/27/2014,2014,188,2,0,0,0,0,2,0,0,1,0,0,4,0,0,7,
47,ME,Bunny,Exclosure,1,6/27/2014,2014,188,2,0,1,0,0,0,0,0,0,4,1,3,0,0,9,
48,ME,Bunny,Exclosure,2,6/27/2014,2014,188,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
58,ME,Bunny,Exclosure,3,6/27/2014,2014,188,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,
61,ME,Asparagus,Exclosure,3,6/27/2014,2014,188,2,0,4,0,0,0,1,0,3,0,0,1,0,0,9,
63,ME,Asparagus,Control,3,6/27/2014,2014,188,2,0,17,0,0,1,1,0,4,0,0,1,0,0,24,
66,ME,Bunny,Control,3,6/27/2014,2014,188,2,0,0,0,0,0,0,0,4,0,3,3,0,0,10,
282,ME,Asparagus,Exclosure,1,6/27/2014,2014,188,2,0,2,0,0,0,0,0,3,0,0,1,0,0,6,
62,NH,Chapman,Control,2,6/28/2014,2014,189,2,0,1,0,0,0,0,0,0,0,0,1,0,0,2,
69,NH,Chapman,Control,3,6/28/2014,2014,189,2,0,1,0,0,0,0,0,0,0,0,1,0,0,2,
74,ME,Rachel Carson,Control,3,6/28/2014,2014,189,2,0,0,0,0,2,0,0,0,0,0,2,0,0,4,
77,NH,Chapman,Exclosure,3,6/28/2014,2014,189,2,0,3,0,0,0,0,0,1,0,0,0,0,0,4,
78,NH,Chapman,Exclosure,2,6/28/2014,2014,189,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,
82,ME,Rachel Carson,Exclosure,3,6/28/2014,2014,189,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
150,ME,Rachel Carson,Control,2,6/28/2014,2014,189,2,1,0,0,0,1,0,0,0,1,0,4,0,0,7,
159,ME,Rachel Carson,Control,1,6/28/2014,2014,189,2,1,0,0,0,0,1,0,0,0,0,1,0,0,3,
164,ME,Rachel Carson,Exclosure,1,6/28/2014,2014,189,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,
165,ME,Rachel Carson,Exclosure,2,6/28/2014,2014,189,2,0,0,0,0,2,0,0,0,0,7,1,0,0,10,
284,NH,Chapman,Control,1,6/28/2014,2014,189,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
285,NH,Chapman,Exclosure,1,6/28/2014,2014,189,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,CT,Barn Island,Exclosure,1,6/30/2014,2014,191,2,1,0,0,0,1,1,0,43,0,0,1,0,0,47,
86,CT,Barn Island,Exclosure,3,6/30/2014,2014,191,2,0,7,0,2,0,1,0,10,2,0,13,0,0,35,
89,RI,Sachuest,Exclosure,3,6/30/2014,2014,191,2,0,0,0,0,0,2,0,20,0,0,7,0,0,29,
90,RI,Sachuest,Control,3,6/30/2014,2014,191,2,0,1,0,0,0,0,0,3,2,0,5,0,0,11,
94,CT,Barn Island,Control,3,6/30/2014,2014,191,2,0,0,0,3,0,3,0,56,0,0,16,0,0,78,
180,RI,Sachuest,Control,1,6/30/2014,2014,191,2,0,1,0,0,1,7,0,42,5,0,25,0,0,81,
181,RI,Sachuest,Control,2,6/30/2014,2014,191,2,0,3,0,1,0,3,0,23,0,0,27,0,0,57,
194,RI,Sachuest,Exclosure,1,6/30/2014,2014,191,2,0,2,0,0,0,3,0,46,0,0,6,0,0,57,
195,RI,Sachuest,Exclosure,2,6/30/2014,2014,191,2,0,0,0,0,1,0,0,66,0,0,36,0,0,103,
262,CT,Barn Island,Control,2,6/30/2014,2014,191,2,0,0,0,0,3,7,0,55,11,0,9,0,0,85,
264,CT,Barn Island,Control,1,6/30/2014,2014,191,2,0,1,0,0,2,2,0,53,0,0,19,0,0,77,
382,CT,Barn Island,Control,2,6/30/2014,2014,191,2,1,0,0,1,0,0,0,30,2,0,4,0,0,38,
91,NJ,Forsythe,Control,1,7/1/2014,2014,192,2,0,7,0,0,0,0,0,0,0,0,0,0,0,7,
96,NJ,Forsythe,Exclosure,3,7/1/2014,2014,192,2,0,21,0,2,0,0,0,0,0,1,1,1,0,26,
104,CT,Hammo,Exclosure,3,7/1/2014,2014,192,2,0,22,0,0,1,0,0,2,8,1,9,0,0,43,
105,NJ,Forsythe,Exclosure,2,7/1/2014,2014,192,2,0,10,0,0,0,0,0,3,0,0,1,0,0,14,
106,CT,Hammo,Control,3,7/1/2014,2014,192,2,0,12,0,0,2,0,0,2,25,1,1,0,0,43,
108,NJ,Forsythe,Control,3,7/1/2014,2014,192,2,0,22,0,0,0,1,0,3,0,0,1,0,0,27,
117,CT,Hammo,Control,1,7/1/2014,2014,192,2,0,5,0,1,0,0,0,3,26,0,1,0,0,36,
118,CT,Hammo,Control,2,7/1/2014,2014,192,2,0,1,0,0,0,0,0,0,19,0,6,0,0,26,
132,CT,Hammo,Exclosure,1,7/1/2014,2014,192,2,0,11,0,0,0,0,0,0,23,0,5,0,0,39,
133,CT,Hammo,Exclosure,2,7/1/2014,2014,192,2,0,13,0,1,0,0,0,1,13,0,7,0,0,35,
278,NJ,Forsythe,Control,2,7/1/2014,2014,192,2,0,2,0,0,0,0,0,3,1,0,1,0,0,7,
279,NJ,Forsythe,Exclosure,1,7/1/2014,2014,192,2,0,4,0,1,0,2,0,1,0,1,1,0,1,11,
3,ME,Asparagus,Control,1,7/30/2014,2014,221,3,1,35,0,12,0,1,0,23,0,5,13,0,0,90,
4,ME,Asparagus,Control,2,7/30/2014,2014,221,3,3,77,0,14,0,4,0,6,1,3,20,0,0,128,
14,ME,Asparagus,Exclosure,1,7/30/2014,2014,221,3,5,48,0,4,0,0,0,3,3,0,9,0,0,72,
15,ME,Asparagus,Exclosure,2,7/30/2014,2014,221,3,1,16,0,1,0,0,0,8,0,2,3,0,0,31,
37,ME,Bunny,Control,1,7/30/2014,2014,221,3,0,67,0,8,2,0,0,5,0,0,7,0,0,89,
38,ME,Bunny,Control,2,7/30/2014,2014,221,3,4,139,0,14,0,0,0,3,0,3,4,0,0,167,
49,ME,Bunny,Exclosure,1,7/30/2014,2014,221,3,0,102,0,5,1,1,0,12,0,4,21,0,0,146,
50,ME,Bunny,Exclosure,2,7/30/2014,2014,221,3,0,157,0,4,1,2,0,3,0,1,7,0,0,175,
110,ME,Bunny,Exclosure,3,7/30/2014,2014,221,3,1,108,0,10,1,0,0,5,4,5,10,0,0,144,
115,ME,Asparagus,Exclosure,3,7/30/2014,2014,221,3,0,27,0,10,0,0,0,20,1,0,18,0,0,76,
121,ME,Asparagus,Control,3,7/30/2014,2014,221,3,1,69,0,7,0,0,0,6,0,2,6,0,0,91,
124,ME,Bunny,Control,3,7/30/2014,2014,221,3,0,73,0,17,0,0,0,0,1,9,7,0,1,108,
64,NH,Chapman,Control,1,7/31/2014,2014,222,3,6,65,0,5,0,0,0,11,1,2,25,0,0,115,
65,NH,Chapman,Control,2,7/31/2014,2014,222,3,8,142,0,4,0,4,0,8,1,6,14,0,0,187,
79,NH,Chapman,Exclosure,1,7/31/2014,2014,222,3,4,81,0,1,0,0,0,2,1,0,5,0,0,94,
80,NH,Chapman,Exclosure,2,7/31/2014,2014,222,3,0,28,0,0,1,0,0,2,0,1,6,0,0,38,
125,NH,Chapman,Control,3,7/31/2014,2014,222,3,1,57,0,0,1,0,0,1,1,1,23,0,0,85,
130,ME,Rachel Carson,Control,3,7/31/2014,2014,222,3,2,85,0,3,0,0,0,0,0,2,0,0,0,92,
131,NH,Chapman,Exclosure,3,7/31/2014,2014,222,3,2,91,0,5,0,0,0,0,0,1,11,0,0,110,
134,ME,Rachel Carson,Exclosure,3,7/31/2014,2014,222,3,3,460,0,1,37,0,0,0,0,0,3,0,2,506,
152,ME,Rachel Carson,Control,2,7/31/2014,2014,222,3,0,190,0,0,1,0,0,2,0,1,10,0,0,204,
157,ME,Rachel Carson,Control,1,7/31/2014,2014,222,3,2,11,0,14,8,1,1,9,0,3,16,0,0,65,
166,ME,Rachel Carson,Exclosure,1,7/31/2014,2014,222,3,0,774,0,11,1,5,21,6,0,30,37,0,0,885,
167,ME,Rachel Carson,Exclosure,2,7/31/2014,2014,222,3,0,345,0,2,0,0,0,1,0,0,1,0,0,349,
24,CT,Barn Island,Control,1,8/4/2014,2014,226,3,0,48,0,3,1,21,0,142,5,0,24,0,0,244,
30,CT,Barn Island,Exclosure,1,8/4/2014,2014,226,3,1,13,0,7,1,2,0,121,5,1,16,0,0,167,
31,CT,Barn Island,Exclosure,2,8/4/2014,2014,226,3,4,10,0,1,2,3,0,50,4,7,13,0,0,94,
135,CT,Barn Island,Control,3,8/4/2014,2014,226,3,0,47,0,7,3,4,0,226,2,0,37,0,0,326,
140,CT,Barn Island,Exclosure,3,8/4/2014,2014,226,3,1,10,0,2,1,1,2,93,8,1,26,0,0,145,
141,RI,Sachuest,Control,3,8/4/2014,2014,226,3,1,16,0,36,6,3,1,78,1,0,43,0,0,185,
147,RI,Sachuest,Exclosure,3,8/4/2014,2014,226,3,0,11,0,20,3,6,0,75,0,0,30,0,0,145,
182,RI,Sachuest,Control,2,8/4/2014,2014,226,3,0,13,0,60,4,6,0,83,0,0,38,0,0,204,
184,RI,Sachuest,Control,1,8/4/2014,2014,226,3,0,7,0,25,1,1,0,40,0,0,36,0,0,110,
197,RI,Sachuest,Exclosure,1,8/4/2014,2014,226,3,0,1,0,25,0,10,0,32,0,0,34,0,0,102,
198,RI,Sachuest,Exclosure,2,8/4/2014,2014,226,3,0,23,0,26,0,29,1,74,0,0,34,0,0,187,
92,NJ,Forsythe,Control,1,8/5/2014,2014,227,3,0,38,0,3,1,2,0,4,0,1,30,0,0,79,
93,NJ,Forsythe,Control,2,8/5/2014,2014,227,3,3,64,0,6,2,2,0,9,0,7,26,0,0,119,
107,NJ,Forsythe,Exclosure,2,8/5/2014,2014,227,3,0,18,0,0,0,5,0,2,2,0,13,1,0,41,
119,CT,Hammo,Control,1,8/5/2014,2014,227,3,2,138,0,24,5,1,0,13,13,0,59,0,0,255,
120,CT,Hammo,Control,2,8/5/2014,2014,227,3,0,214,0,2,1,0,0,14,52,31,48,0,0,362,
122,CT,Hammo,Control,3,8/5/2014,2014,227,3,0,23,0,5,0,22,0,173,8,0,18,0,0,249,
123,CT,Hammo,Exclosure,1,8/5/2014,2014,227,3,1,308,0,29,0,0,0,0,12,2,61,0,0,413,
128,CT,Hammo,Exclosure,2,8/5/2014,2014,227,3,0,196,0,3,0,0,0,0,18,3,37,0,0,257,
129,CT,Hammo,Exclosure,3,8/5/2014,2014,227,3,0,210,0,10,2,0,0,7,25,7,53,0,0,314,
153,NJ,Forsythe,Control,3,8/5/2014,2014,227,3,2,80,0,4,1,0,3,17,6,23,21,0,0,157,
155,NJ,Forsythe,Exclosure,3,8/5/2014,2014,227,3,0,38,0,0,1,3,0,1,0,2,13,0,0,58,
271,NJ,Forsythe,Exclosure,1,8/5/2014,2014,227,3,2,44,0,3,4,0,0,8,0,6,28,0,0,95,
5,ME,Asparagus,Control,1,8/19/2014,2014,241,4,0,2,0,0,0,0,0,5,0,1,3,0,0,11,
6,ME,Asparagus,Control,2,8/19/2014,2014,241,4,1,0,0,1,0,0,0,5,0,1,6,0,0,14,
16,ME,Asparagus,Exclosure,1,8/19/2014,2014,241,4,4,2,1,0,0,0,0,11,0,1,15,0,0,34,
17,ME,Asparagus,Exclosure,2,8/19/2014,2014,241,4,1,0,0,0,0,2,0,11,0,0,11,0,0,25,
39,ME,Bunny,Control,1,8/19/2014,2014,241,4,0,8,0,34,0,0,0,0,2,0,19,0,2,65,
40,ME,Bunny,Control,2,8/19/2014,2014,241,4,0,7,0,15,0,1,0,8,5,3,28,0,0,67,
51,ME,Bunny,Exclosure,1,8/19/2014,2014,241,4,1,49,0,21,0,1,0,7,0,26,23,0,0,128,
52,ME,Bunny,Exclosure,2,8/19/2014,2014,241,4,0,31,0,16,1,0,0,3,0,4,17,0,0,72,
170,ME,Asparagus,Control,3,8/19/2014,2014,241,4,2,3,0,0,1,0,0,30,0,15,28,0,0,79,
175,ME,Asparagus,Exclosure,3,8/19/2014,2014,241,4,6,2,0,0,1,0,0,10,0,2,21,0,0,42,
178,ME,Bunny,Control,3,8/19/2014,2014,241,4,3,12,0,5,0,0,0,1,0,26,35,0,0,82,
183,ME,Bunny,Exclosure,3,8/19/2014,2014,241,4,0,20,0,2,1,0,0,3,6,2,25,0,0,59,
67,NH,Chapman,Control,1,8/20/2014,2014,242,4,1,97,0,156,3,0,0,0,0,0,13,0,0,270,
68,NH,Chapman,Control,2,8/20/2014,2014,242,4,3,216,0,51,10,1,0,6,0,2,58,0,0,347,
81,NH,Chapman,Exclosure,2,8/20/2014,2014,242,4,2,130,0,33,4,0,0,13,0,0,50,0,0,232,
154,ME,Rachel Carson,Control,2,8/20/2014,2014,242,4,0,203,0,11,20,1,0,9,0,4,39,0,0,287,
156,ME,Rachel Carson,Control,1,8/20/2014,2014,242,4,0,374,0,15,2,21,0,24,3,14,48,0,4,505,
168,ME,Rachel Carson,Exclosure,1,8/20/2014,2014,242,4,41,360,0,38,0,0,0,11,0,3,19,0,0,472,
169,ME,Rachel Carson,Exclosure,2,8/20/2014,2014,242,4,63,474,0,10,7,0,0,27,0,51,39,0,0,671,
187,NH,Chapman,Control,3,8/20/2014,2014,242,4,17,91,0,47,2,5,0,10,1,1,57,0,0,231,
193,NH,Chapman,Exclosure,3,8/20/2014,2014,242,4,6,69,0,6,2,3,0,12,0,0,24,0,0,122,
196,ME,Rachel Carson,Exclosure,3,8/20/2014,2014,242,4,2,578,0,48,3,3,0,11,0,2,27,0,0,674,
199,ME,Rachel Carson,Control,3,8/20/2014,2014,242,4,0,290,0,20,0,4,0,31,1,9,33,0,0,388,
283,NH,Chapman,Exclosure,1,8/20/2014,2014,242,4,7,107,0,42,3,2,0,6,0,1,29,0,1,198,
95,NJ,Forsythe,Control,2,8/25/2014,2014,247,4,0,32,0,2,0,2,0,4,1,2,21,0,0,64,
97,NJ,Forsythe,Control,1,8/25/2014,2014,247,4,0,20,0,0,1,3,0,0,6,1,33,0,0,64,may be control 1
109,NJ,Forsythe,Exclosure,2,8/25/2014,2014,247,4,0,11,0,1,4,1,0,6,0,1,25,0,0,49,
202,NJ,Forsythe,Control,3,8/25/2014,2014,247,4,0,12,0,0,0,26,0,19,2,11,15,0,0,85,
205,NJ,Forsythe,Exclosure,3,8/25/2014,2014,247,4,0,22,0,0,1,4,0,6,1,9,21,0,0,64,
272,NJ,Forsythe,Exclosure,1,8/25/2014,2014,247,4,0,13,0,0,0,4,0,4,0,2,7,0,0,30,
25,CT,Barn Island,Control,2,8/26/2014,2014,248,4,0,5,0,15,4,18,0,110,35,0,30,0,0,217,
32,CT,Barn Island,Exclosure,2,8/26/2014,2014,248,4,1,0,0,0,1,1,0,28,11,6,9,0,0,57,
136,CT,Hammo,Control,1,8/26/2014,2014,248,4,0,15,0,0,0,0,1,2,0,4,21,0,0,43,
137,CT,Hammo,Control,2,8/26/2014,2014,248,4,0,84,0,1,0,4,0,1,0,10,26,0,0,126,
138,CT,Hammo,Exclosure,1,8/26/2014,2014,248,4,0,36,0,0,2,0,0,1,3,4,20,0,0,66,
139,CT,Hammo,Exclosure,2,8/26/2014,2014,248,4,0,32,0,0,2,0,1,2,18,12,50,0,0,117,
145,CT,Hammo,Control,3,8/26/2014,2014,248,4,0,51,0,2,0,0,0,3,2,11,38,0,0,107,
146,CT,Hammo,Exclosure,3,8/26/2014,2014,248,4,0,33,0,3,3,1,0,4,26,7,36,0,0,113,
209,CT,Barn Island,Control,3,8/26/2014,2014,248,4,0,10,0,5,4,3,0,119,68,0,26,0,0,235,
211,CT,Barn Island,Exclosure,3,8/26/2014,2014,248,4,0,8,0,8,4,12,0,61,3,29,9,0,0,134,
263,CT,Barn Island,Control,1,8/26/2014,2014,248,4,0,15,0,14,2,12,0,250,26,8,41,0,0,368,
185,RI,Sachuest,Control,1,8/27/2014,2014,249,4,0,3,0,1,0,0,0,26,0,0,22,0,0,52,
186,RI,Sachuest,Control,2,8/27/2014,2014,249,4,0,2,0,6,6,1,0,28,0,0,18,1,0,62,
200,RI,Sachuest,Exclosure,1,8/27/2014,2014,249,4,0,12,0,27,0,6,0,14,0,0,16,0,0,75,
201,RI,Sachuest,Exclosure,2,8/27/2014,2014,249,4,0,19,0,6,0,4,0,10,0,0,15,0,0,54,
214,RI,Sachuest,Control,3,8/27/2014,2014,249,4,0,2,0,12,3,1,0,73,1,0,30,0,0,122,
216,RI,Sachuest,Exclosure,3,8/27/2014,2014,249,4,0,9,0,55,0,3,0,7,0,0,27,0,0,101,
310,ME,Bunny,Control,1,5/18/2015,2015,148,1,0,0,0,0,1,1,0,0,1,0,3,0,0,6,
311,ME,Bunny,Control,2,5/18/2015,2015,148,1,0,2,0,0,0,0,0,0,20,3,22,0,0,47,
